model,n_reps_done,n_reps_failed,fitness_mean,fitness_std,fitness_best,best_rep_lut4,best_rep_ff,best_rep_fmax_mhz,best_rep_iterations,best_rep_cycles,best_rep_ipc_coremark,iters_to_best_mean,pass_rate,total_cost_usd,mean_wall_clock_per_iter_sec,total_tokens_in,total_tokens_out
gpt-5_4_xhigh,3,0,485.7833333333333,28.089718561938106,513.84,10108,1893,203.29,10,3956276,3e-06,19.666666666666668,0.10869565217391304,0.0,774.7028985507246,101831797,1371550
gpt-5_6-sol,1,0,470.8,0.0,470.8,10168,1929,199.92,10,4246355,2e-06,46.0,0.15217391304347827,0.0,114.47826086956522,19369775,252038
gpt-5_5_xhigh,3,0,468.29999999999995,52.8329486841939,525.04,5453,2138,220.22,10,4194377,2e-06,28.333333333333332,0.12318840579710144,0.0,477.5217391304348,45872105,935500
gpt-5_6-luna,3,0,451.95666666666665,28.96605407867783,480.9,10135,2076,208.72,10,4340155,2e-06,18.333333333333332,0.07971014492753624,0.0,387.768115942029,74566824,1312902
gpt-5_6-terra,3,0,442.25666666666666,55.77454397442939,515.7,10525,1926,208.51,10,4043217,2e-06,26.666666666666668,0.13768115942028986,0.0,218.74637681159416,57869681,861240
gpt-5_5_high,3,0,430.16333333333336,23.00252932952278,461.87,9807,1982,187.3,10,4055214,2e-06,31.333333333333332,0.13768115942028986,0.0,578.0217391304349,37360767,448874
gpt-5_5_medium,3,0,423.45666666666665,11.248568303961564,431.58,7803,1130,200.6,10,4648003,2e-06,36.0,0.11594202898550725,0.0,512.6304347826086,33476746,255284
gpt-5_4-mini,3,0,362.2833333333333,23.712804323590415,395.53,10230,2232,186.64,10,4718765,2e-06,38.666666666666664,0.11594202898550725,0.0,1972.5217391304348,53783867,1031540
kimi-k2_6,2,1,339.49,8.269999999999982,347.76,10254,1940,146.18,10,4203461,2e-06,11.5,0.06521739130434782,28.44417399000001,690.0652173913044,57804171,3393092
gemini-3_1-pro,3,0,339.42333333333335,12.578898556268307,354.73,10242,2036,149.7,10,4220145,2e-06,21.0,0.06521739130434782,83.52989199999999,491.90579710144925,70062583,2765113
gemini-3_5-flash,0,1,,,,,,,,,,,,0.0,,27831698,154805
